wandb: Currently logged in as: lee_changmin (lee_changmin-sangmyung-uni) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 92xcqkx8
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/cia/disk1/bci_intern/AAAI2026/RLDoom/logs/wandb/wandb/run-20251205_214556-92xcqkx8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run reinforce_seed0
wandb: ⭐️ View project at https://wandb.ai/lee_changmin-sangmyung-uni/RLDoom
wandb: 🚀 View run at https://wandb.ai/lee_changmin-sangmyung-uni/RLDoom/runs/92xcqkx8
pci id for fd 8: 1a03:2000, driver (null)
MESA-LOADER: failed to open ast: /usr/lib/dri/ast_dri.so: cannot open shared object file: No such file or directory (search paths /usr/lib/x86_64-linux-gnu/dri:\$${ORIGIN}/dri:/usr/lib/dri, suffix _dri)
pci id for fd 9: 1a03:2000, driver (null)
kmsro: driver missing
reinforce train:   0%|          | 0/2000 [00:00<?, ?it/s][step=1] episode=1.0000 return=-102.2452 length=30.0000 global_step=30.0000 loss=-0.0013 policy_loss=-0.0013 entropy=1.9459
reinforce train:   0%|          | 1/2000 [00:02<1:19:26,  2.38s/it][step=2] episode=2.0000 return=-11.4379 length=26.0000 global_step=56.0000 loss=0.0016 policy_loss=0.0016 entropy=1.9458
reinforce train:   0%|          | 2/2000 [00:04<1:04:38,  1.94s/it][step=3] episode=3.0000 return=-26.0594 length=28.0000 global_step=84.0000 loss=0.0004 policy_loss=0.0004 entropy=1.9457
reinforce train:   0%|          | 3/2000 [00:05<1:03:04,  1.90s/it][step=4] episode=4.0000 return=13.2030 length=64.0000 global_step=148.0000 loss=0.0036 policy_loss=0.0036 entropy=1.9456
reinforce train:   0%|          | 4/2000 [00:10<1:33:13,  2.80s/it][step=5] episode=5.0000 return=-91.1305 length=29.0000 global_step=177.0000 loss=-0.0031 policy_loss=-0.0031 entropy=1.9455
reinforce train:   0%|          | 5/2000 [00:11<1:22:34,  2.48s/it][step=6] episode=6.0000 return=-102.1980 length=29.0000 global_step=206.0000 loss=0.0031 policy_loss=0.0031 entropy=1.9454
reinforce train:   0%|          | 6/2000 [00:13<1:16:36,  2.31s/it][step=7] episode=7.0000 return=-102.6983 length=44.0000 global_step=250.0000 loss=-0.0008 policy_loss=-0.0008 entropy=1.9454
reinforce train:   0%|          | 7/2000 [00:16<1:23:29,  2.51s/it][step=8] episode=8.0000 return=-108.7758 length=30.0000 global_step=280.0000 loss=-0.0058 policy_loss=-0.0058 entropy=1.9453
reinforce train:   0%|          | 8/2000 [00:18<1:17:28,  2.33s/it][step=9] episode=9.0000 return=-46.6123 length=28.0000 global_step=308.0000 loss=0.0011 policy_loss=0.0011 entropy=1.9451
reinforce train:   0%|          | 9/2000 [00:20<1:12:40,  2.19s/it][step=10] episode=10.0000 return=-99.5424 length=12.0000 global_step=320.0000 loss=-0.0295 policy_loss=-0.0295 entropy=1.9449
reinforce train:   0%|          | 10/2000 [00:21<58:30,  1.76s/it] [step=11] episode=11.0000 return=-63.5848 length=72.0000 global_step=392.0000 loss=-0.0076 policy_loss=-0.0076 entropy=1.9447
